2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano requireShielding: false
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano minConf: 10
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano payments txfee reserve: 0.000005
2018-01-01 12:48:29 [Payments] [bitcoin nano] - bitcoin nano maxBlocksPerPayment: 3
2018-01-01 14:07:16 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:08:13 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:09:10 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:10:07 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 5ms daemon RPC
2018-01-01 14:11:04 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:12:01 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:12:58 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:13:55 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:14:52 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:15:49 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:16:46 [Payments] [bitcoin nano] - Finished interval - time spent: 10ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:17:43 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:18:40 [Payments] [bitcoin nano] - Finished interval - time spent: 10ms total, 5ms redis, 3ms daemon RPC
2018-01-01 14:19:37 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:20:34 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 3ms daemon RPC
2018-01-01 14:21:31 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:22:28 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:23:25 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:24:22 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:25:19 [Payments] [bitcoin nano] - Finished interval - time spent: 11ms total, 3ms redis, 6ms daemon RPC
2018-01-01 14:26:16 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:27:13 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:28:10 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:29:07 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:30:04 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:31:01 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:31:58 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:32:55 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 2ms daemon RPC
2018-01-01 14:33:52 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 2ms daemon RPC
2018-01-01 14:34:49 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:35:46 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 1ms redis, 5ms daemon RPC
2018-01-01 14:36:43 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 2ms daemon RPC
2018-01-01 14:37:40 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:38:37 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:39:34 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 2ms daemon RPC
2018-01-01 14:40:31 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:41:28 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 3ms daemon RPC
2018-01-01 14:42:25 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:43:22 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:44:19 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:45:16 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:46:13 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:47:10 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:48:07 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:49:04 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:50:01 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:50:58 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:51:55 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:52:52 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:53:49 [Payments] [bitcoin nano] - Finished interval - time spent: 10ms total, 3ms redis, 6ms daemon RPC
2018-01-01 14:54:46 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:55:43 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 14:56:40 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 4ms daemon RPC
2018-01-01 14:57:37 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 3ms redis, 4ms daemon RPC
2018-01-01 14:58:34 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 1ms redis, 4ms daemon RPC
2018-01-01 14:59:31 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 2ms redis, 4ms daemon RPC
2018-01-01 15:00:28 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:01:25 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:02:22 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:03:19 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:04:16 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:05:13 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 1ms redis, 4ms daemon RPC
2018-01-01 15:06:10 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 3ms redis, 5ms daemon RPC
2018-01-01 15:07:07 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 3ms redis, 7ms daemon RPC
2018-01-01 15:08:04 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:09:01 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:09:58 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:10:55 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 5ms daemon RPC
2018-01-01 15:11:52 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:12:49 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:13:46 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 1ms redis, 2ms daemon RPC
2018-01-01 15:14:43 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 1ms redis, 4ms daemon RPC
2018-01-01 15:15:40 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:16:37 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 2ms daemon RPC
2018-01-01 15:17:34 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:18:31 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:19:28 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:20:25 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 15:21:22 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:22:19 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:23:16 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:24:13 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 0ms redis, 3ms daemon RPC
2018-01-01 15:25:10 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:26:07 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 3ms daemon RPC
2018-01-01 15:27:04 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:28:01 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 0ms redis, 2ms daemon RPC
2018-01-01 15:28:58 [Payments] [bitcoin nano] - Finished interval - time spent: 4ms total, 0ms redis, 2ms daemon RPC
2018-01-01 15:29:55 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
2018-01-01 15:30:52 [Payments] [bitcoin nano] - Finished interval - time spent: 4ms total, 1ms redis, 2ms daemon RPC
2018-01-01 15:31:49 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 1ms redis, 3ms daemon RPC
2018-01-01 15:32:46 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 2ms redis, 2ms daemon RPC
2018-01-01 15:33:43 [Payments] [bitcoin nano] - Finished interval - time spent: 5ms total, 0ms redis, 2ms daemon RPC
2018-01-01 15:34:40 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 1ms redis, 5ms daemon RPC
2018-01-01 15:35:37 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 5ms daemon RPC
2018-01-01 15:36:34 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:37:31 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:38:28 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 5ms daemon RPC
2018-01-01 15:39:25 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 1ms redis, 4ms daemon RPC
2018-01-01 15:40:22 [Payments] [bitcoin nano] - Finished interval - time spent: 8ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:41:19 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:42:16 [Payments] [bitcoin nano] - Finished interval - time spent: 9ms total, 4ms redis, 6ms daemon RPC
2018-01-01 15:43:13 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 2ms redis, 5ms daemon RPC
2018-01-01 15:44:10 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 4ms daemon RPC
2018-01-01 15:45:07 [Payments] [bitcoin nano] - Finished interval - time spent: 7ms total, 3ms redis, 5ms daemon RPC
2018-01-01 15:46:04 [Payments] [bitcoin nano] - Finished interval - time spent: 6ms total, 2ms redis, 4ms daemon RPC
